GAME_ID,TEAM_ID,GAME_DATE,TEAM_ABBREVIATION,PTS,AST,REB,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,AVG_PTS,AVG_AST,AVG_REB,AVG_FGM,AVG_FGA,AVG_FG3M,AVG_FG3A,AVG_FTM,AVG_FTA,AVG_OREB,AVG_DREB,AVG_STL,AVG_BLK,AVG_TOV,AVG_PF,AVG_PLUS_MINUS,AVG_FG_PCT,AVG_FG3_PCT,AVG_FT_PCT,AVG_TS_PCT
0022500082,1610612737,2025-10-22,ATL,118,25,34,38,90,10,35,32,37,8,26,7,6,15,24,-100,118.0,25.0,34.0,38.0,90.0,10.0,35.0,32.0,37.0,8.0,26.0,7.0,6.0,15.0,24.0,-100.0,0.42222221753086425,0.28571427755102063,0.8648648414901394,0.57
0022500090,1610612737,2025-10-24,ATL,111,26,40,41,85,8,29,21,28,9,31,9,5,16,21,20,114.5,25.5,37.0,39.5,87.5,9.0,32.0,26.5,32.5,8.5,28.5,8.0,5.5,15.5,22.5,-40.0,0.4514285662693878,0.2812499912109378,0.8153845902958589,0.57
0022500101,1610612737,2025-10-25,ATL,100,25,46,35,85,16,39,14,21,15,31,7,5,16,23,-85,109.66666666666667,25.333333333333332,40.0,38.0,86.66666666666667,11.333333333333334,34.333333333333336,22.333333333333332,28.666666666666668,10.666666666666666,29.333333333333332,7.666666666666667,5.333333333333333,15.666666666666666,22.666666666666668,-55.0,0.43846153340236693,0.3300970777641628,0.779069740265009,0.57
0022500115,1610612737,2025-10-27,ATL,123,32,36,49,98,11,32,14,20,8,28,8,1,6,17,-25,113.0,27.0,39.0,40.75,89.5,11.25,33.75,20.25,26.5,10.0,29.0,7.75,4.25,13.25,21.25,-47.5,0.4553072574826005,0.33333332345679045,0.7641509145603428,0.57
0022500130,1610612737,2025-10-29,ATL,117,33,44,44,93,13,33,16,22,13,31,11,8,8,26,25,113.8,28.2,40.0,41.4,90.2,11.6,33.6,19.4,25.6,10.6,29.4,8.4,5.0,12.2,22.2,-33.0,0.4589800392574275,0.3452380849631522,0.7578124703979503,0.57
0022500020,1610612737,2025-10-31,ATL,128,30,55,51,94,10,30,16,20,12,43,10,5,10,23,100,116.16666666666667,28.5,42.5,43.0,90.83333333333333,11.333333333333334,33.0,18.833333333333332,24.666666666666668,10.833333333333334,31.666666666666668,8.666666666666666,5.0,11.833333333333334,22.333333333333332,-10.833333333333334,0.4733944902011616,0.34343433302724247,0.7635134825602641,0.57
0022500151,1610612737,2025-11-02,ATL,109,28,46,39,77,6,23,25,35,8,38,9,3,22,21,-40,115.14285714285714,28.428571428571427,43.0,42.42857142857143,88.85714285714286,10.571428571428571,31.571428571428573,19.714285714285715,26.142857142857142,10.428571428571429,32.57142857142857,8.714285714285714,4.714285714285714,13.285714285714286,22.142857142857142,-15.0,0.47749195604108735,0.33484161835343285,0.7540983318104464,0.57
0022500166,1610612737,2025-11-04,ATL,127,23,34,40,72,13,30,34,42,6,28,11,6,18,24,75,116.625,27.75,41.875,42.125,86.75,10.875,31.375,21.5,28.125,9.875,32.0,9.0,4.875,13.875,22.375,-3.75,0.48559077250039456,0.34661353476928974,0.7644444172641984,0.57
0022500030,1610612737,2025-11-07,ATL,97,24,54,33,96,9,38,22,23,19,35,8,7,15,19,-60,114.44444444444444,27.333333333333332,43.22222222222222,41.111111111111114,87.77777777777777,10.666666666666666,32.111111111111114,21.555555555555557,27.555555555555557,10.88888888888889,32.333333333333336,8.88888888888889,5.111111111111111,14.0,22.0,-10.0,0.4683544250440636,0.3321799204511443,0.7822580361277326,0.57
0022500185,1610612737,2025-11-08,ATL,122,37,37,48,93,16,39,10,11,7,30,13,6,11,14,100,115.2,28.3,42.6,41.8,88.3,11.2,32.8,20.4,25.9,10.5,32.1,9.3,5.2,13.7,21.2,1.0,0.4733861781043468,0.3414634042236767,0.7876447572337931,0.57
