Date,Player_Name,Target,Line,Odds_Over,Odds_Under,Pred_Mean,Pick,Pick_EV,Pick_Odds,FairOdds_Over,FairOdds_Under
2025-12-29,Miles Bridges,AST,3.5,2.3,1.57,5.1,OVER,0.23,2.3,2.46,1.68
2025-12-29,LaMelo Ball,REB,4.5,1.62,2.22,-1.1,UNDER,0.342,2.22,1.73,2.37
2025-12-29,Ryan Rollins,REB,3.5,1.66,2.14,-6.9,UNDER,0.497,2.14,1.78,2.29
2025-12-29,Myles Turner,REB,4.5,1.68,2.1,-1.0,UNDER,0.254,2.1,1.8,2.25
2025-12-29,Giannis Antetokounmpo,REB,9.5,1.77,1.98,44.7,OVER,0.528,1.77,1.89,2.12
2025-12-29,Kevin Porter Jr.,REB,4.5,1.62,2.22,-1.6,UNDER,0.364,2.22,1.73,2.37
2025-12-29,Brandon Miller,REB,3.5,1.58,2.28,-11.3,UNDER,0.801,2.28,1.69,2.44
2025-12-29,Miles Bridges,REB,6.5,1.71,2.06,7.0,SKIP,0.0,0.0,1.83,2.2
2025-12-29,Kyle Kuzma,REB,3.5,1.58,2.28,-1.3,UNDER,0.34,2.28,1.69,2.44
2025-12-29,Bobby Portis,REB,6.5,2.16,1.65,9.0,OVER,0.169,2.16,2.31,1.76
2025-12-29,Sion James,REB,3.5,2.04,1.72,-19.4,UNDER,0.575,1.72,2.19,1.84
2025-12-29,Ryan Rollins,PTS+REB+AST,23.5,1.93,1.82,21.3,SKIP,0.0,0.0,2.06,1.94
2025-12-29,Miles Bridges,PTS+REB+AST,29.5,1.82,1.91,52.5,OVER,0.153,1.82,1.95,2.05
2025-12-29,LaMelo Ball,PTS+REB+AST,33.5,1.83,1.91,81.3,OVER,0.369,1.83,1.96,2.04
2025-12-29,Kevin Porter Jr.,PTS+REB+AST,30.5,1.82,1.91,64.1,OVER,0.249,1.82,1.95,2.05
2025-12-29,Giannis Antetokounmpo,PTS+REB+AST,43.5,1.94,1.8,201.7,OVER,0.883,1.94,2.08,1.93
2025-12-29,Kyle Kuzma,PTS+REB+AST,17.5,1.8,1.94,-7.0,UNDER,0.276,1.94,1.93,2.08
2025-12-29,Brandon Miller,PTS+REB+AST,27.5,1.91,1.83,22.8,SKIP,0.0,0.0,2.04,1.96
2025-12-29,LaMelo Ball,PTS+REB,26.5,1.94,1.82,44.0,OVER,0.174,1.94,2.07,1.94
2025-12-29,Bobby Portis,PTS+REB,18.5,1.94,1.8,2.0,UNDER,0.104,1.8,2.08,1.93
2025-12-29,Kyle Kuzma,PTS+REB,15.5,1.91,1.83,2.9,UNDER,0.07,1.83,2.04,1.96
2025-12-29,Brandon Miller,PTS+REB,23.5,1.77,1.98,20.5,SKIP,0.0,0.0,1.89,2.12
2025-12-29,Kevin Porter Jr.,PTS+REB,23.5,1.98,1.77,33.3,OVER,0.11,1.98,2.12,1.89
2025-12-29,Sion James,PTS+REB,10.5,1.82,1.93,-63.9,UNDER,0.794,1.93,1.94,2.06
2025-12-29,Giannis Antetokounmpo,PTS+REB,36.5,1.85,1.89,175.4,OVER,0.772,1.85,1.98,2.02
2025-12-29,Ryan Rollins,PTS+REB,18.5,1.89,1.85,5.3,UNDER,0.084,1.85,2.02,1.98
2025-12-29,Myles Turner,PTS+REB,16.5,1.93,1.82,-17.3,UNDER,0.322,1.82,2.06,1.94
2025-12-29,Miles Bridges,PTS+REB,26.5,1.88,1.88,47.4,OVER,0.177,1.88,2.0,2.0
2025-12-29,Giannis Antetokounmpo,PTS+AST,33.5,1.93,1.82,157.0,OVER,0.824,1.93,2.06,1.94
2025-12-29,Kevin Porter Jr.,PTS+AST,25.5,1.85,1.89,65.8,OVER,0.349,1.85,1.98,2.02
2025-12-29,Miles Bridges,PTS+AST,22.5,1.88,1.88,45.5,OVER,0.207,1.88,2.0,2.0
2025-12-29,Ryan Rollins,PTS+AST,19.5,1.91,1.83,28.2,OVER,0.062,1.91,2.04,1.96
2025-12-29,Kyle Kuzma,PTS+AST,13.5,1.85,1.89,-5.8,UNDER,0.197,1.89,1.98,2.02
2025-12-29,LaMelo Ball,PTS+AST,28.5,1.88,1.88,82.4,OVER,0.476,1.88,2.0,2.0
2025-12-29,Brandon Miller,PTS+AST,23.5,1.94,1.8,34.1,OVER,0.099,1.94,2.08,1.93
2025-12-29,Giannis Antetokounmpo,REB+AST,15.5,1.8,1.94,70.9,OVER,0.655,1.8,1.93,2.08
2025-12-29,Brandon Miller,REB+AST,7.5,2.14,1.66,-9.0,UNDER,0.229,1.66,2.29,1.78
2025-12-29,Ryan Rollins,REB+AST,8.5,1.83,1.91,9.1,SKIP,0.0,0.0,1.96,2.04
2025-12-29,Kyle Kuzma,REB+AST,6.5,1.89,1.85,-11.2,UNDER,0.396,1.85,2.02,1.98
2025-12-29,Kevin Porter Jr.,REB+AST,12.5,1.88,1.88,29.2,OVER,0.299,1.88,2.0,2.0
2025-12-29,Miles Bridges,REB+AST,10.5,2.04,1.72,12.1,OVER,0.064,2.04,2.19,1.84
2025-12-29,LaMelo Ball,REB+AST,12.5,1.94,1.8,36.1,OVER,0.456,1.94,2.08,1.93
2025-12-29,Alex Sarr,PTS,17.5,2.02,1.74,52.1,OVER,0.441,2.02,2.16,1.86
2025-12-29,Tre Johnson,PTS,12.5,1.85,1.89,-26.4,UNDER,0.454,1.89,1.98,2.02
2025-12-29,Jordan Goodwin,PTS,10.5,1.91,1.83,-34.2,UNDER,0.503,1.83,2.04,1.96
2025-12-29,Devin Booker,PTS,27.5,1.91,1.83,82.1,OVER,0.502,1.91,2.04,1.96
2025-12-29,Kyshawn George,PTS,14.5,2.0,1.76,17.4,SKIP,0.0,0.0,2.14,1.88
2025-12-29,Dillon Brooks,PTS,21.5,1.94,1.8,19.2,SKIP,0.0,0.0,2.08,1.93
2025-12-29,Bilal Coulibaly,PTS,11.5,1.98,1.77,-22.3,UNDER,0.33,1.77,2.12,1.89
2025-12-29,Collin Gillespie,PTS,17.5,1.98,1.77,-0.9,UNDER,0.117,1.77,2.12,1.89
2025-12-29,Marvin Bagley III,PTS,10.5,1.93,1.82,-35.7,UNDER,0.547,1.82,2.06,1.94
2025-12-29,Bilal Coulibaly,AST,2.5,1.74,2.02,-6.4,UNDER,0.448,2.02,1.86,2.16
2025-12-29,Alex Sarr,AST,2.5,2.22,1.62,-0.8,SKIP,0.0,0.0,2.37,1.73
2025-12-29,Devin Booker,AST,6.5,1.77,1.98,24.3,OVER,0.373,1.77,1.89,2.12
2025-12-29,Kyshawn George,AST,4.5,1.77,1.98,13.6,OVER,0.181,1.77,1.89,2.12
2025-12-29,Collin Gillespie,AST,6.5,2.0,1.76,12.9,OVER,0.234,2.0,2.14,1.88
2025-12-29,Jordan Goodwin,AST,2.5,1.93,1.82,-10.3,UNDER,0.483,1.82,2.06,1.94
2025-12-29,Alex Sarr,REB,7.5,1.69,2.08,25.1,OVER,0.245,1.69,1.81,2.23
2025-12-29,Tre Johnson,REB,3.5,2.28,1.58,-19.7,UNDER,0.473,1.58,2.44,1.69
2025-12-29,Devin Booker,REB,4.5,2.34,1.56,-8.6,UNDER,0.173,1.56,2.5,1.67
2025-12-29,Jordan Goodwin,REB,4.5,1.62,2.22,-14.4,UNDER,0.891,2.22,1.73,2.37
2025-12-29,Collin Gillespie,REB,4.5,1.88,1.88,-7.3,UNDER,0.365,1.88,2.0,2.0
2025-12-29,Kyshawn George,REB,5.5,2.18,1.63,8.4,OVER,0.197,2.18,2.34,1.75
2025-12-29,Bilal Coulibaly,REB,4.5,1.98,1.77,-2.8,UNDER,0.12,1.77,2.12,1.89
2025-12-29,Dillon Brooks,REB,3.5,1.8,1.94,-18.2,UNDER,0.768,1.94,1.93,2.08
2025-12-29,Marvin Bagley III,REB,5.5,1.69,2.08,8.2,SKIP,0.0,0.0,1.81,2.23
2025-12-29,Collin Gillespie,PTS+REB+AST,28.5,1.93,1.82,4.7,UNDER,0.182,1.82,2.06,1.94
2025-12-29,Devin Booker,PTS+REB+AST,38.5,1.89,1.85,97.8,OVER,0.483,1.89,2.02,1.98
2025-12-29,Alex Sarr,PTS+REB+AST,27.5,1.85,1.89,76.4,OVER,0.405,1.85,1.98,2.02
2025-12-29,Jordan Goodwin,PTS+REB+AST,18.5,1.89,1.85,-59.0,UNDER,0.712,1.85,2.02,1.98
